x1,x2,operacion,resultado
38,72,+,110.0
12,64,-,-52.0
87,94,-,-7.0
19,92,*,1748.0
58,95,*,5510.0
5,8,/,0.625
7,24,+,31.0
8,95,-,-87.0
47,36,*,1692.0
97,32,/,3.03125
26,62,-,-36.0
15,22,/,0.6818181818181818
78,67,+,145.0
43,49,-,-6.0
8,3,+,11.0
82,85,+,167.0
4,60,+,64.0
48,11,-,37.0
2,45,*,90.0
37,83,+,120.0
8,91,/,0.08791208791208792
34,57,+,91.0
86,24,+,110.0
76,84,/,0.9047619047619048
15,10,/,1.5
27,66,*,1782.0
83,13,*,1079.0
69,18,-,51.0
38,55,/,0.6909090909090909
74,57,/,1.2982456140350878
98,32,/,3.0625
96,69,/,1.391304347826087
3,70,+,73.0
90,25,*,2250.0
95,52,/,1.8269230769230769
84,32,-,52.0
69,72,/,0.9583333333333334
83,32,*,2656.0
93,46,+,139.0
93,40,*,3720.0
71,63,+,134.0
7,11,-,-4.0
98,33,*,3234.0
17,56,/,0.30357142857142855
38,32,-,6.0
36,92,/,0.391304347826087
23,100,/,0.23
3,89,-,-86.0
49,57,*,2793.0
14,85,-,-71.0
55,33,+,88.0
38,38,+,76.0
100,36,*,3600.0
41,45,*,1845.0
33,92,+,125.0
72,63,/,1.1428571428571428
81,15,+,96.0
45,23,+,68.0
28,54,-,-26.0
80,25,-,55.0
29,96,-,-67.0
93,50,/,1.86
80,55,*,4400.0
45,69,*,3105.0
18,79,/,0.22784810126582278
78,8,-,70.0
99,98,/,1.010204081632653
12,28,*,336.0
78,99,*,7722.0
51,3,-,48.0
35,55,*,1925.0
86,76,+,162.0
15,27,-,-12.0
47,28,/,1.6785714285714286
27,92,-,-65.0
96,58,/,1.6551724137931034
74,78,-,-4.0
27,83,*,2241.0
40,96,-,-56.0
48,100,*,4800.0
23,71,*,1633.0
13,43,-,-30.0
4,75,+,79.0
77,31,/,2.4838709677419355
79,26,*,2054.0
54,88,+,142.0
15,21,*,315.0
58,48,-,10.0
29,81,-,-52.0
40,82,*,3280.0
95,65,+,160.0
60,7,-,53.0
99,74,*,7326.0
43,35,/,1.2285714285714286
3,31,/,0.0967741935483871
33,53,*,1749.0
24,88,*,2112.0
77,60,-,17.0
8,27,*,216.0
14,25,/,0.56
29,30,*,870.0
77,94,+,171.0
36,35,-,1.0
8,72,+,80.0
4,13,*,52.0
61,81,+,142.0
97,33,/,2.9393939393939394
53,64,+,117.0
62,73,+,135.0
89,49,*,4361.0
65,55,+,120.0
84,45,+,129.0
36,4,+,40.0
83,51,*,4233.0
51,75,*,3825.0
89,57,/,1.5614035087719298
70,28,+,98.0
1,58,+,59.0
81,43,+,124.0
32,10,*,320.0
63,97,*,6111.0
42,44,/,0.9545454545454546
20,2,+,22.0
36,6,*,216.0
5,78,+,83.0
71,19,/,3.736842105263158
34,77,/,0.44155844155844154
6,62,/,0.0967741935483871
22,8,+,30.0
22,79,-,-57.0
43,15,+,58.0
11,77,-,-66.0
55,84,*,4620.0
33,35,-,-2.0
97,55,+,152.0
91,28,/,3.25
35,57,/,0.6140350877192983
69,52,*,3588.0
20,98,/,0.20408163265306123
70,44,+,114.0
86,60,+,146.0
62,26,*,1612.0
11,91,-,-80.0
57,100,*,5700.0
57,77,+,134.0
67,84,*,5628.0
41,64,/,0.640625
24,32,+,56.0
34,2,+,36.0
18,97,*,1746.0
6,43,*,258.0
31,63,/,0.49206349206349204
96,99,-,-3.0
15,57,*,855.0
41,21,*,861.0
15,92,+,107.0
19,50,*,950.0
31,99,-,-68.0
76,17,-,59.0
8,8,-,0.0
19,20,+,39.0
66,22,*,1452.0
89,74,*,6586.0
75,87,/,0.8620689655172413
11,18,+,29.0
94,60,+,154.0
93,76,/,1.2236842105263157
34,20,/,1.7
44,63,/,0.6984126984126984
48,80,/,0.6
45,64,-,-19.0
29,71,+,100.0
17,34,/,0.5
86,54,*,4644.0
59,29,+,88.0
58,6,-,52.0
99,38,-,61.0
26,69,+,95.0
41,17,-,24.0
80,98,/,0.8163265306122449
31,3,-,28.0
100,42,*,4200.0
41,41,/,1.0
30,17,-,13.0
44,94,+,138.0
70,33,-,37.0
72,85,*,6120.0
55,57,-,-2.0
91,88,-,3.0
25,1,-,24.0
96,4,/,24.0
77,94,/,0.8191489361702128
48,2,+,50.0
43,64,/,0.671875
37,13,/,2.8461538461538463
19,38,*,722.0
23,16,-,7.0
22,75,*,1650.0
57,77,-,-20.0
36,45,*,1620.0
65,77,/,0.8441558441558441
24,57,+,81.0
88,70,/,1.2571428571428571
91,14,-,77.0
35,87,-,-52.0
89,79,+,168.0
42,28,+,70.0
22,71,*,1562.0
75,53,/,1.4150943396226414
76,71,*,5396.0
18,88,*,1584.0
3,50,-,-47.0
34,32,-,2.0
29,7,+,36.0
44,3,-,41.0
1,38,+,39.0
3,28,-,-25.0
62,52,-,10.0
71,21,*,1491.0
12,87,-,-75.0
30,31,+,61.0
63,69,+,132.0
85,93,*,7905.0
84,87,*,7308.0
40,41,*,1640.0
85,10,+,95.0
40,31,+,71.0
56,97,+,153.0
35,46,+,81.0
61,68,*,4148.0
38,76,*,2888.0
63,6,*,378.0
31,45,*,1395.0
34,81,*,2754.0
27,79,/,0.34177215189873417
38,74,/,0.5135135135135135
28,15,+,43.0
18,70,+,88.0
60,49,-,11.0
91,24,+,115.0
30,98,*,2940.0
89,87,-,2.0
99,78,+,177.0
14,41,*,574.0
65,20,-,45.0
25,91,+,116.0
21,93,+,114.0
88,91,+,179.0
41,68,*,2788.0
6,56,+,62.0
57,71,+,128.0
19,69,*,1311.0
60,88,*,5280.0
45,22,*,990.0
70,91,+,161.0
61,23,*,1403.0
12,57,/,0.21052631578947367
69,36,-,33.0
57,56,*,3192.0
75,87,+,162.0
70,95,*,6650.0
97,62,/,1.564516129032258
77,88,/,0.875
71,73,+,144.0
82,54,*,4428.0
17,7,+,24.0
94,70,/,1.3428571428571427
24,9,*,216.0
22,44,*,968.0
9,57,*,513.0
12,76,*,912.0
19,67,/,0.2835820895522388
17,84,+,101.0
72,6,+,78.0
59,100,/,0.59
100,57,-,43.0
39,10,+,49.0
26,30,*,780.0
80,24,+,104.0
31,76,/,0.40789473684210525
3,25,*,75.0
65,99,-,-34.0
71,82,/,0.8658536585365854
43,68,+,111.0
98,61,/,1.6065573770491803
43,75,/,0.5733333333333334
42,93,-,-51.0
19,96,-,-77.0
89,18,/,4.944444444444445
78,6,/,13.0
97,21,-,76.0
32,16,*,512.0
81,59,+,140.0
43,22,+,65.0
85,87,+,172.0
84,78,-,6.0
66,93,/,0.7096774193548387
53,24,-,29.0
8,13,+,21.0
47,98,*,4606.0
17,35,+,52.0
94,4,-,90.0
1,91,-,-90.0
15,77,/,0.19480519480519481
20,35,*,700.0
19,82,*,1558.0
62,40,/,1.55
33,93,*,3069.0
8,94,*,752.0
30,20,+,50.0
11,91,-,-80.0
52,58,*,3016.0
57,12,/,4.75
84,49,-,35.0
100,69,+,169.0
100,26,+,126.0
80,30,+,110.0
26,80,+,106.0
13,85,+,98.0
26,97,-,-71.0
52,62,*,3224.0
76,38,/,2.0
9,38,+,47.0
56,99,+,155.0
20,93,-,-73.0
32,26,/,1.2307692307692308
77,63,/,1.2222222222222223
23,12,*,276.0
76,48,/,1.5833333333333333
59,62,+,121.0
49,69,+,118.0
38,62,*,2356.0
58,89,+,147.0
76,76,+,152.0
59,65,/,0.9076923076923077
61,99,+,160.0
57,92,-,-35.0
80,36,-,44.0
19,65,*,1235.0
51,89,+,140.0
97,93,-,4.0
2,68,/,0.029411764705882353
3,66,*,198.0
100,53,/,1.8867924528301887
36,25,*,900.0
37,18,*,666.0
61,48,-,13.0
8,78,+,86.0
80,60,/,1.3333333333333333
54,24,/,2.25
2,92,-,-90.0
80,2,-,78.0
33,61,-,-28.0
95,27,+,122.0
48,68,-,-20.0
23,73,-,-50.0
94,75,/,1.2533333333333334
75,34,+,109.0
69,66,+,135.0
26,39,*,1014.0
34,22,*,748.0
89,21,/,4.238095238095238
55,62,/,0.8870967741935484
63,10,+,73.0
93,73,-,20.0
57,96,*,5472.0
83,17,*,1411.0
4,78,-,-74.0
51,47,*,2397.0
78,49,-,29.0
35,99,/,0.35353535353535354
60,90,/,0.6666666666666666
46,96,/,0.4791666666666667
40,5,/,8.0
75,72,/,1.0416666666666667
10,42,/,0.23809523809523808
50,40,*,2000.0
86,68,/,1.2647058823529411
28,56,/,0.5
27,60,*,1620.0
22,90,/,0.24444444444444444
30,84,+,114.0
98,16,*,1568.0
85,37,/,2.2972972972972974
49,58,+,107.0
66,30,-,36.0
85,99,/,0.8585858585858586
85,78,+,163.0
96,78,-,18.0
74,75,-,-1.0
41,66,-,-25.0
5,79,*,395.0
44,72,+,116.0
32,17,/,1.8823529411764706
12,35,+,47.0
99,100,+,199.0
42,63,/,0.6666666666666666
84,78,+,162.0
10,68,-,-58.0
78,15,/,5.2
84,15,+,99.0
23,58,*,1334.0
8,70,-,-62.0
20,38,*,760.0
53,46,/,1.1521739130434783
82,69,+,151.0
49,54,-,-5.0
78,65,+,143.0
24,2,-,22.0
83,49,+,132.0
34,16,/,2.125
22,1,/,22.0
12,84,-,-72.0
75,47,/,1.5957446808510638
73,6,/,12.166666666666666
37,61,*,2257.0
45,75,*,3375.0
99,16,-,83.0
79,75,-,4.0
26,78,-,-52.0
95,16,/,5.9375
99,78,*,7722.0
14,42,-,-28.0
36,59,+,95.0
96,57,/,1.6842105263157894
10,21,-,-11.0
20,7,+,27.0
44,80,+,124.0
47,57,+,104.0
84,47,/,1.7872340425531914
