Fecha,Producto,Demanda
2024-01-01,1001,19
2024-01-02,1001,27
2024-01-03,1001,28
2024-01-04,1001,29
2024-01-05,1001,15
2024-01-06,1001,16
2024-01-07,1001,9
2024-01-08,1001,19
2024-01-09,1001,26
2024-01-10,1001,22
2024-01-11,1001,23
2024-01-12,1001,18
2024-01-13,1001,16
2024-01-14,1001,15
2024-01-15,1001,19
2024-01-16,1001,24
2024-01-17,1001,27
2024-01-18,1001,20
2024-01-19,1001,19
2024-01-20,1001,16
2024-01-21,1001,22
2024-01-22,1001,21
2024-01-23,1001,23
2024-01-24,1001,34
2024-01-25,1001,15
2024-01-26,1001,23
2024-01-27,1001,19
2024-01-28,1001,13
2024-01-29,1001,26
2024-01-30,1001,26
2024-01-31,1001,24
2024-02-01,1001,19
2024-02-02,1001,21
2024-02-03,1001,13
2024-02-04,1001,12
2024-02-05,1001,20
2024-02-06,1001,23
2024-02-07,1001,26
2024-02-08,1001,22
2024-02-09,1001,24
2024-02-10,1001,19
2024-02-11,1001,16
2024-02-12,1001,17
2024-02-13,1001,30
2024-02-14,1001,29
2024-02-15,1001,34
2024-02-16,1001,20
2024-02-17,1001,23
2024-02-18,1001,19
2024-02-19,1001,21
2024-02-20,1001,19
2024-02-21,1001,29
2024-02-22,1001,20
2024-02-23,1001,17
2024-02-24,1001,16
2024-02-25,1001,16
2024-02-26,1001,15
2024-02-27,1001,22
2024-02-28,1001,30
2024-02-29,1001,26
2024-03-01,1001,22
2024-03-02,1001,17
2024-03-03,1001,20
2024-03-04,1001,22
2024-03-05,1001,24
2024-03-06,1001,31
2024-03-07,1001,22
2024-03-08,1001,16
2024-03-09,1001,21
2024-03-10,1001,22
2024-03-11,1001,15
2024-03-12,1001,27
2024-03-13,1001,18
2024-03-14,1001,27
2024-03-15,1001,15
2024-03-16,1001,19
2024-03-17,1001,15
2024-03-18,1001,22
2024-03-19,1001,19
2024-03-20,1001,25
2024-03-21,1001,23
2024-03-22,1001,23
2024-03-23,1001,23
2024-03-24,1001,19
2024-03-25,1001,22
2024-03-26,1001,21
2024-03-27,1001,20
2024-03-28,1001,24
2024-03-29,1001,19
2024-03-30,1001,19
2024-03-31,1001,20
2024-04-01,1001,22
2024-04-02,1001,19
2024-04-03,1001,29
2024-04-04,1001,23
2024-04-05,1001,15
2024-04-06,1001,14
2024-04-07,1001,11
2024-04-08,1001,20
2024-04-09,1001,28
2024-04-10,1001,25
2024-04-11,1001,20
2024-04-12,1001,18
2024-04-13,1001,18
2024-04-14,1001,12
2024-04-15,1001,17
2024-04-16,1001,25
2024-04-17,1001,21
2024-04-18,1001,31
2024-04-19,1001,18
2024-04-20,1001,12
2024-04-21,1001,14
2024-04-22,1001,19
2024-04-23,1001,23
2024-04-24,1001,18
2024-04-25,1001,28
2024-04-26,1001,19
2024-04-27,1001,16
2024-04-28,1001,20
2024-04-29,1001,17
2024-04-30,1001,22
2024-05-01,1001,28
2024-05-02,1001,23
2024-05-03,1001,20
2024-05-04,1001,16
2024-05-05,1001,16
2024-05-06,1001,27
2024-05-07,1001,29
2024-05-08,1001,16
2024-05-09,1001,29
2024-05-10,1001,27
2024-05-11,1001,21
2024-05-12,1001,16
2024-05-13,1001,18
2024-05-14,1001,28
2024-05-15,1001,23
2024-05-16,1001,25
2024-05-17,1001,19
2024-05-18,1001,21
2024-05-19,1001,16
2024-05-20,1001,19
2024-05-21,1001,26
2024-05-22,1001,34
2024-05-23,1001,23
2024-05-24,1001,17
2024-05-25,1001,20
2024-05-26,1001,20
2024-05-27,1001,17
2024-05-28,1001,23
2024-05-29,1001,30
2024-05-30,1001,25
2024-05-31,1001,9
2024-06-01,1001,18
2024-06-02,1001,21
2024-06-03,1001,18
2024-06-04,1001,28
2024-06-05,1001,33
