Producto,Fecha Pedido,Fecha Recepción,Cantidad
1001,2024-02-12,2024-02-15,318
1001,2024-04-20,2024-04-25,474
1001,2024-04-24,2024-04-27,362
1001,2024-05-25,2024-05-30,439
1001,2024-05-28,2024-06-01,392
1001,2024-05-31,2024-06-02,345
1001,2024-06-12,2024-06-16,487
1001,2024-06-13,2024-06-16,583
1002,2024-01-09,2024-01-13,435
1002,2024-01-21,2024-01-28,555
1002,2024-02-13,2024-02-15,491
1002,2024-02-24,2024-03-01,389
1002,2024-03-14,2024-03-19,413
1002,2024-05-15,2024-05-17,556
1002,2024-06-03,2024-06-06,584
1003,2024-01-02,2024-01-05,437
1003,2024-01-08,2024-01-10,583
1003,2024-02-01,2024-02-08,321
1003,2024-02-17,2024-02-23,553
1003,2024-03-16,2024-03-20,463
1003,2024-03-19,2024-03-26,576
1003,2024-04-28,2024-05-02,505
