reviewText,predicted_sentiment
"When I opened the micro disc and adapter I did't know what to do with them. I went to UTube on installing them, and all became clear. The micro fits into the top of the adapter and then the whole thing fits into my camera. Very neat and high powered.",positive
"I purchased this product knowing there might be an issue with the galaxy s4. This card worked for a week or two then began to spontaneously unmount and would mount itself back in. The unmount periods began to become longer than a few hours, days! I tried this card in a galaxy note 2 still with the same result. I attempted to contact Sandisk customer service and utilize the warranty. They know of the problem and began the exchange process then instructed me to wait for a mailing label that never came. I called back and was told that they would re-email it to me. To this day I am still waiting for that email. I have never had this issue with this company but with  ever changing technology, it is what it is, right? I know this card will be good for some device I have. If you own a galaxy phone beware!! I have not attempted to use this in a samsung tablet so on that I cannot review.",negative
"Bought October 7th. Passed away December 23rd. RIP.I didn't really even use it because of the built in storage on my GS3. I had about 15 gb of music and movies on it, but only for when I was unexpectedly bored and without my zuneHd. On to the next brand I guess.",negative
"This was an inexpensive way to get my Galaxy Note II from 16GB to 32GB of memory. Its plenty fast and can hold lots of photos, music, etc.",positive
"Works well, and fast, does everything it claims to do.  These sshd items are the best.  You cannot hurt them, and they last forever.",positive
"Bought this for my S3 and loaded it with 4 seasons of Futurama, 5 full length HD movies, several documentaries, and a dozen or so 30 minute comedy shows with plenty of room left over for pictures, etc...Only slight nitpick is when booting up into recovery mode on the S3 it will not recognize the card. Wanted to update the phone to the latest version of Android and it would not see it. Had to resort to a 2GB MicroSD I had laying around. That wasn't a SD card issue but I thought I would throw that in.",negative
Product arrived on time not excessively packaged. Worked perfectly out of the box. Speed is excellent as I can play movies on it and the large file transfer time is very quick on the tablet.,positive
"Well i got it for my go pro hero 3. the hero 3 takes this instead of regular sd cards, it seems to be working fine and its the same type that go pro sells of of their site for the hero 3.",positive
"It performs very well & bought at good price. Works great on my S3 with no problems. i used before on my Samsung Epic but the phone had trouble using it , kept getting &#34;sd card suddenly removed&#34;  notification.",positive
It's a memory card and performs like it should: it stores data. I would recommend it for cameras and any other device that calls for storage with a SD card and adapter.,positive
"This card was used in a phone without a large amount of write stress (which does shorten the life of the card - it was not written to over and over in the phone).The card is now totally unwriteable - on a Mac, a Linux machine, or the phone - writes all ""seem"" to succeed but even low-level reformats don't actually *do* anything - the exact same files are there after every change, untouchable and frozen forever.10 months of use out of a memory card and then a really weird failure like this (neither the Mac, Linux machine, or phone reports any error) is not acceptable quality from SanDisk.",negative
"I purchased the Samsung Galaxy S3 because I could expand the memory, and this card is how I did it. The phone came with 16 Gb, and this cranked it up to 80 Gb for only about $65 more (buying this much memory already installed would have been much more expensive). I have about a half dozen albums, around 40 or 50 TV episodes, and maybe 16 full length movies on the card, with room to spare - very nice when sitting on a long plane ride! The only problem occurred the day after I put the card in - it gave me an error message, but when I removed and reseated the card, no problem, and none in the months since then.",negative
Works fine in a Samsung Galaxy Note 2 - no need to format (although I did) - recognized as soon as it was popped in 59.47GB usable.Arrived really fast and nicely packaged.  I would order again.,positive
Purchased this along with the Nifty Minidrive for use as my Time Machine backup my Macbook Air 13&#34;. Perfect expansion!,positive
got it on time in a simple but secure packaging. inserted it and worked without issues. comes in a clear plastic case with an SD adapter. the is the typical SD case size.the sale price of $16 and change was great as well.love it!,positive
I have been using this in my phone for several months.  Still works great. Seems fast however i have not done any real tests.,neutral
"I've used many others, and this is average. Its in my son's android, and I don't really think the application its in right now is a the best way to determine its speed / performance.  Otherwise it does what i want it to.The adapter will come in handy later.",neutral
Not a whole lot to report other than the card has been working great so far in my S4.  No problems whatsoever.,positive
