epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,528.558,2.14305,2.08997,2.13177,0.32339,0.13979,0.12229,0.0459,3.09096,2.98958,3.02141,0.000648649,0.000648649,0.000648649
2,1066.86,1.28622,1.2528,1.50538,0.64703,0.47166,0.51108,0.29181,1.82898,1.84666,1.87846,0.0011851,0.0011851,0.0011851
3,1647.24,1.05003,1.04338,1.3286,0.79648,0.67753,0.7465,0.48755,1.30572,1.11856,1.42542,0.00158955,0.00158955,0.00158955
4,2516.67,0.96077,0.94395,1.24953,0.828,0.71529,0.78613,0.56248,1.03153,0.97528,1.26833,0.001406,0.001406,0.001406
5,3661.63,0.89528,0.86418,1.1953,0.82871,0.74303,0.82285,0.60459,0.94571,0.89022,1.20667,0.001208,0.001208,0.001208
6,4205.5,0.85284,0.82373,1.17702,0.81138,0.72135,0.80526,0.5982,0.9298,0.93104,1.19647,0.00101,0.00101,0.00101
7,4852.56,0.81157,0.76609,1.14744,0.84101,0.74663,0.83445,0.63109,0.88497,0.82285,1.1546,0.000812,0.000812,0.000812
8,5682.04,0.771,0.71324,1.11584,0.85429,0.75585,0.84307,0.6421,0.87008,0.81767,1.14918,0.000614,0.000614,0.000614
9,6131.84,0.75263,0.69407,1.1033,0.86372,0.76966,0.85716,0.65843,0.84499,0.76672,1.12851,0.000416,0.000416,0.000416
10,6636.17,0.72738,0.65714,1.08702,0.86626,0.76677,0.85839,0.66529,0.82469,0.75629,1.11978,0.000218,0.000218,0.000218
